case_id,model_name,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_diagnosis_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score,reasoning_extraction_score
159,OpenAI GPT-5.2,3,4,3,3,1,3,3,3,3,1
169,Anthropic Claude Opus 4.5,3,3,4,3,3,4,4,4,3,4
169,DeepSeek-V3.2,3,3,2,3,4,4,3,4,3,4
169,Google Gemini 3 Pro,3,3,4,3,3,3,3,3,3,3
169,OpenAI GPT-5.2,2,4,3,2,2,2,4,3,2,2
178,Anthropic Claude Opus 4.5,3,1,4,3,4,3,4,4,3,4
178,DeepSeek-V3.2,3,3,4,3,3,3,4,3,4,3
178,Google Gemini 3 Pro,3,4,4,4,3,3,4,4,4,3
178,OpenAI GPT-5.2,2,1,3,3,3,2,2,3,3,3
181,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,3,4
181,DeepSeek-V3.2,4,4,3,3,4,4,4,3,3,4
181,Google Gemini 3 Pro,3,2,3,3,3,3,2,3,4,3
181,OpenAI GPT-5.2,2,2,4,2,1,2,2,3,2,1
1003,Anthropic Claude Opus 4.5,4,4,3,4,4,4,4,3,4,4
1003,DeepSeek-V3.2,3,3,2,3,2,3,3,3,3,2
1003,Google Gemini 3 Pro,4,4,4,2,4,4,4,4,2,4
1003,OpenAI GPT-5.2,2,4,4,3,2,2,4,3,2,2
1009,Anthropic Claude Opus 4.5,3,0,4,3,4,3,1,2,2,4
1009,DeepSeek-V3.2,2,1,3,4,3,2,1,4,3,3
1009,Google Gemini 3 Pro,3,1,3,2,3,2,1,3,3,3
1009,OpenAI GPT-5.2,2,0,2,1,3,2,2,2,2,3
1012,Anthropic Claude Opus 4.5,3,4,4,4,4,3,4,4,4,4
1012,DeepSeek-V3.2,2,4,3,3,3,2,4,4,3,3
1012,Google Gemini 3 Pro,3,4,4,3,3,3,4,4,3,3
1012,OpenAI GPT-5.2,3,3,2,3,1,3,2,2,2,1
1013,Anthropic Claude Opus 4.5,2,0,4,3,4,3,2,3,3,4
1013,DeepSeek-V3.2,2,0,4,3,3,3,1,3,3,3
1013,Google Gemini 3 Pro,2,0,2,1,2,2,0,3,3,4
1013,OpenAI GPT-5.2,3,0,3,3,1,3,1,4,3,1
1020,Anthropic Claude Opus 4.5,4,4,3,4,4,4,4,3,4,4
1020,DeepSeek-V3.2,3,4,2,4,3,2,4,3,3,3
1020,Google Gemini 3 Pro,3,4,4,3,4,3,4,4,3,4
1020,OpenAI GPT-5.2,2,1,2,3,2,1,1,2,2,2
1021,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
1021,DeepSeek-V3.2,2,3,3,3,3,2,3,3,3,3
1021,Google Gemini 3 Pro,3,4,4,3,4,3,3,3,3,3
1021,OpenAI GPT-5.2,2,4,4,3,2,1,3,3,2,2
1032,Anthropic Claude Opus 4.5,4,4,4,4,4,4,4,4,4,4
1032,DeepSeek-V3.2,3,2,2,3,2,3,1,3,2,2
1032,Google Gemini 3 Pro,2,4,3,3,4,2,3,3,2,4
1032,OpenAI GPT-5.2,2,2,2,3,2,1,0,3,2,2
1033,Anthropic Claude Opus 4.5,4,4,4,4,4,3,4,4,3,4
1033,DeepSeek-V3.2,2,4,3,3,3,2,4,3,3,3
1033,Google Gemini 3 Pro,3,4,3,3,3,2,4,3,3,3
1033,OpenAI GPT-5.2,2,4,2,3,2,1,4,3,2,2
1047,Anthropic Claude Opus 4.5,4,4,3,3,4,4,4,4,3,4
1047,DeepSeek-V3.2,3,4,4,3,4,3,4,4,3,4
1047,Google Gemini 3 Pro,2,3,3,3,3,2,3,4,3,3
1047,OpenAI GPT-5.2,3,1,2,3,1,3,2,2,2,1
1049,Anthropic Claude Opus 4.5,4,2,3,3,4,4,3,3,3,4
1049,DeepSeek-V3.2,3,1,2,3,2,3,3,2,3,2
1049,Google Gemini 3 Pro,2,2,3,1,4,2,3,4,3,4
1049,OpenAI GPT-5.2,3,2,2,2,2,3,3,3,2,2
1056,Anthropic Claude Opus 4.5,3,4,4,3,4,3,4,4,3,4
1056,DeepSeek-V3.2,1,4,2,3,3,2,4,2,3,3
1056,Google Gemini 3 Pro,3,4,3,3,4,3,4,3,3,4
1056,OpenAI GPT-5.2,3,4,3,3,2,3,3,3,2,2
