case_id,model_name,Caesa Nagpal,Carolyn Rodriguez,Pooja Chaudhary,Salih Selek,Stan Mathis
1003,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1003,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1003,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1003,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1009,Anthropic Claude Opus 4.5,Yes,No,No,No,No
1009,DeepSeek-V3.2,Yes,No,Yes,Yes,Yes
1009,Google Gemini 3 Pro,Yes,No,No,No,No
1009,OpenAI GPT-5.2,Yes,No,No,Yes,No
1012,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1012,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1012,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1012,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1013,Anthropic Claude Opus 4.5,No,No,No,Yes,No
1013,DeepSeek-V3.2,No,No,No,Yes,No
1013,Google Gemini 3 Pro,No,No,No,No,No
1013,OpenAI GPT-5.2,Yes,No,Yes,Yes,No
1020,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1020,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1020,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1020,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1021,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1021,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1021,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1021,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1032,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1032,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1032,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1032,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1033,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1033,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1033,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1033,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1047,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1047,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1047,Google Gemini 3 Pro,No,Yes,Yes,Yes,Yes
1047,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
1049,Anthropic Claude Opus 4.5,Yes,No,No,Yes,Yes
1049,DeepSeek-V3.2,Yes,No,No,No,No
1049,Google Gemini 3 Pro,Yes,No,No,No,Yes
1049,OpenAI GPT-5.2,Yes,No,No,No,No
1056,Anthropic Claude Opus 4.5,Yes,Yes,Yes,Yes,Yes
1056,DeepSeek-V3.2,Yes,Yes,Yes,Yes,Yes
1056,Google Gemini 3 Pro,Yes,Yes,Yes,Yes,Yes
1056,OpenAI GPT-5.2,Yes,Yes,Yes,Yes,Yes
